Description,Variables,value,unit,,,,6
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],0,(90-105),0131448_2020-8-9-14-27-26,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0131448_2020-8-9-14-27-26,,,
Counter of vehicle movement state at (Forward),vavdyr_cnt_ops_vehmotionstate[x]_[2],292,Forward,0131448_2020-8-9-14-27-26,,,
Counter of vehicle movement state at (Invalid),vavdyr_cnt_ops_vehmotionstate[x]_[4],0,Invalid,0131448_2020-8-9-14-27-26,,,
Counter of vehicle movement state at (Neutral),vavdyr_cnt_ops_vehmotionstate[x]_[1],0,Neutral,0131448_2020-8-9-14-27-26,,,
Counter of vehicle movement state at (Parked),vavdyr_cnt_ops_vehmotionstate[x]_[0],30,Parked,0131448_2020-8-9-14-27-26,,,
Counter of vehicle movement state at (Reverse),vavdyr_cnt_ops_vehmotionstate[x]_[3],20,Reversed,0131448_2020-8-9-14-27-26,,,
Driver Alert Type Customization Current Setting value at key on,venvar_e_ops_alrtdrvrslctdkeyon,2,$0 = SettingUnknow $1 = Chime $2 = Seat,0131448_2020-8-9-14-27-26,,,
Forward Collision Alert Gap Setting at key on,vefimr_e_ops_fca_gapsetkeyon,0,$0 = Far $1 = Medium $2 = Near $3 = Off $4 = Unknown $5=Faulted,0131448_2020-8-9-14-27-26,,,
Forward Impact Mitigation Operation Select Customization Current Setting Value at key on,vefimr_e_ops_cps_cursetkeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0131448_2020-8-9-14-27-26,,,
Front PCM Response Type Customization Current Setting Value at key on,vepcmr_e_ops_cursetvaluekeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0131448_2020-8-9-14-27-26,,,
Go Notifier Customization Current Setting Value at key on,vefsrr_e_ops_gonocustomkeyon,2,$0=SettingUnknown $1=Off $2=On,0131448_2020-8-9-14-27-26,,,
Lane Change Alert Customization Current Setting Value at key on,verimr_e_ops_lca_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-14-27-26,,,
Lateral Assist Customer Selection Status at key on,veldfr_e_ops_ltrlasststkeyon,0,$0 = Off $1 = LDW $2 = LKA $3 = HoLF,0131448_2020-8-9-14-27-26,,,
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,31.359375,deg C (KeyOff),0131448_2020-8-9-14-27-26,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,31.359375,deg C (KeyOn),0131448_2020-8-9-14-27-26,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,31.359375,deg C (Max),0131448_2020-8-9-14-27-26,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,31.359375,deg C (Min),0131448_2020-8-9-14-27-26,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,25.98633167,deg (Lat KeyOff),0131448_2020-8-9-14-27-26,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,25.98941417,deg (Lat KeyOn),0131448_2020-8-9-14-27-26,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-80.13109056,deg (Long KeyOff),0131448_2020-8-9-14-27-26,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-80.11928833,deg (Long KeyOn),0131448_2020-8-9-14-27-26,,,
Rear Cross Traffic Alert Customization Current Setting Value at key on,verimr_e_ops_rcta_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-14-27-26,,,
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-14-27-26,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,9,Day,0131448_2020-8-9-14-27-26,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,14,Hour,0131448_2020-8-9-14-27-26,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,27,Minute,0131448_2020-8-9-14-27-26,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0131448_2020-8-9-14-27-26,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,26,Second,0131448_2020-8-9-14-27-26,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0131448_2020-8-9-14-27-26,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,754.859375,km (KeyOff),0131448_2020-8-9-14-27-26,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,753.1875,km (KeyOn),0131448_2020-8-9-14-27-26,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],158,(0-15),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],0,(105-120),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],0,(120-135),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],135,(15-30),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],138,(30-45),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],147,(45-60),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (45-60 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[3],0,(45-60),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (60-75 kph),vavspr_cnt_ops_vehspd[x]_[4],41,(60-75),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (60-75 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[4],0,(60-75),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (75-90 kph),vavspr_cnt_ops_vehspd[x]_[5],0,(75-90),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (75-90 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[5],0,(75-90),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],0,(90-105),0131448_2020-8-9-14-49-23,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0131448_2020-8-9-14-49-23,,,
Counter of vehicle movement state at (Forward),vavdyr_cnt_ops_vehmotionstate[x]_[2],971,Forward,0131448_2020-8-9-14-49-23,,,
Counter of vehicle movement state at (Invalid),vavdyr_cnt_ops_vehmotionstate[x]_[4],0,Invalid,0131448_2020-8-9-14-49-23,,,
Counter of vehicle movement state at (Neutral),vavdyr_cnt_ops_vehmotionstate[x]_[1],1,Neutral,0131448_2020-8-9-14-49-23,,,
Counter of vehicle movement state at (Parked),vavdyr_cnt_ops_vehmotionstate[x]_[0],50,Parked,0131448_2020-8-9-14-49-23,,,
Counter of vehicle movement state at (Reverse),vavdyr_cnt_ops_vehmotionstate[x]_[3],0,Reversed,0131448_2020-8-9-14-49-23,,,
Driver Alert Type Customization Current Setting value at key on,venvar_e_ops_alrtdrvrslctdkeyon,2,$0 = SettingUnknow $1 = Chime $2 = Seat,0131448_2020-8-9-14-49-23,,,
Forward Collision Alert Gap Setting at key on,vefimr_e_ops_fca_gapsetkeyon,0,$0 = Far $1 = Medium $2 = Near $3 = Off $4 = Unknown $5=Faulted,0131448_2020-8-9-14-49-23,,,
Forward Impact Mitigation Operation Select Customization Current Setting Value at key on,vefimr_e_ops_cps_cursetkeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0131448_2020-8-9-14-49-23,,,
Front PCM Response Type Customization Current Setting Value at key on,vepcmr_e_ops_cursetvaluekeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0131448_2020-8-9-14-49-23,,,
Go Notifier Customization Current Setting Value at key on,vefsrr_e_ops_gonocustomkeyon,2,$0=SettingUnknown $1=Off $2=On,0131448_2020-8-9-14-49-23,,,
Lane Change Alert Customization Current Setting Value at key on,verimr_e_ops_lca_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-14-49-23,,,
Lateral Assist Customer Selection Status at key on,veldfr_e_ops_ltrlasststkeyon,0,$0 = Off $1 = LDW $2 = LKA $3 = HoLF,0131448_2020-8-9-14-49-23,,,
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,31.359375,deg C (KeyOff),0131448_2020-8-9-14-49-23,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,31.359375,deg C (KeyOn),0131448_2020-8-9-14-49-23,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,31.359375,deg C (Max),0131448_2020-8-9-14-49-23,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,31.359375,deg C (Min),0131448_2020-8-9-14-49-23,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,25.95539278,deg (Lat KeyOff),0131448_2020-8-9-14-49-23,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,25.98633167,deg (Lat KeyOn),0131448_2020-8-9-14-49-23,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-80.14015806,deg (Long KeyOff),0131448_2020-8-9-14-49-23,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-80.13109056,deg (Long KeyOn),0131448_2020-8-9-14-49-23,,,
Rear Cross Traffic Alert Customization Current Setting Value at key on,verimr_e_ops_rcta_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-14-49-23,,,
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-14-49-23,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,9,Day,0131448_2020-8-9-14-49-23,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,14,Hour,0131448_2020-8-9-14-49-23,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,49,Minute,0131448_2020-8-9-14-49-23,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0131448_2020-8-9-14-49-23,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,23,Second,0131448_2020-8-9-14-49-23,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0131448_2020-8-9-14-49-23,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,760.421875,km (KeyOff),0131448_2020-8-9-14-49-23,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,754.859375,km (KeyOn),0131448_2020-8-9-14-49-23,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],62,(0-15),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],0,(105-120),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],0,(120-135),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],34,(15-30),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],32,(30-45),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],18,(45-60),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (45-60 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[3],0,(45-60),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (60-75 kph),vavspr_cnt_ops_vehspd[x]_[4],0,(60-75),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (60-75 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[4],0,(60-75),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (75-90 kph),vavspr_cnt_ops_vehspd[x]_[5],0,(75-90),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (75-90 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[5],0,(75-90),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],0,(90-105),0131448_2020-8-9-15-12-30,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0131448_2020-8-9-15-12-30,,,
Counter of vehicle movement state at (Forward),vavdyr_cnt_ops_vehmotionstate[x]_[2],145,Forward,0131448_2020-8-9-15-12-30,,,
Counter of vehicle movement state at (Invalid),vavdyr_cnt_ops_vehmotionstate[x]_[4],0,Invalid,0131448_2020-8-9-15-12-30,,,
Counter of vehicle movement state at (Neutral),vavdyr_cnt_ops_vehmotionstate[x]_[1],0,Neutral,0131448_2020-8-9-15-12-30,,,
Counter of vehicle movement state at (Parked),vavdyr_cnt_ops_vehmotionstate[x]_[0],56,Parked,0131448_2020-8-9-15-12-30,,,
Counter of vehicle movement state at (Reverse),vavdyr_cnt_ops_vehmotionstate[x]_[3],14,Reversed,0131448_2020-8-9-15-12-30,,,
Driver Alert Type Customization Current Setting value at key on,venvar_e_ops_alrtdrvrslctdkeyon,2,$0 = SettingUnknow $1 = Chime $2 = Seat,0131448_2020-8-9-15-12-30,,,
Forward Collision Alert Gap Setting at key on,vefimr_e_ops_fca_gapsetkeyon,0,$0 = Far $1 = Medium $2 = Near $3 = Off $4 = Unknown $5=Faulted,0131448_2020-8-9-15-12-30,,,
Forward Impact Mitigation Operation Select Customization Current Setting Value at key on,vefimr_e_ops_cps_cursetkeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0131448_2020-8-9-15-12-30,,,
Front PCM Response Type Customization Current Setting Value at key on,vepcmr_e_ops_cursetvaluekeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0131448_2020-8-9-15-12-30,,,
Go Notifier Customization Current Setting Value at key on,vefsrr_e_ops_gonocustomkeyon,2,$0=SettingUnknown $1=Off $2=On,0131448_2020-8-9-15-12-30,,,
Lane Change Alert Customization Current Setting Value at key on,verimr_e_ops_lca_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-15-12-30,,,
Lateral Assist Customer Selection Status at key on,veldfr_e_ops_ltrlasststkeyon,0,$0 = Off $1 = LDW $2 = LKA $3 = HoLF,0131448_2020-8-9-15-12-30,,,
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,31.359375,deg C (KeyOff),0131448_2020-8-9-15-12-30,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,31.359375,deg C (KeyOn),0131448_2020-8-9-15-12-30,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,31.359375,deg C (Max),0131448_2020-8-9-15-12-30,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,31.359375,deg C (Min),0131448_2020-8-9-15-12-30,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,25.95664278,deg (Lat KeyOff),0131448_2020-8-9-15-12-30,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,25.95539278,deg (Lat KeyOn),0131448_2020-8-9-15-12-30,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-80.14559778,deg (Long KeyOff),0131448_2020-8-9-15-12-30,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-80.14015806,deg (Long KeyOn),0131448_2020-8-9-15-12-30,,,
Rear Cross Traffic Alert Customization Current Setting Value at key on,verimr_e_ops_rcta_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-15-12-30,,,
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-15-12-30,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,9,Day,0131448_2020-8-9-15-12-30,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,15,Hour,0131448_2020-8-9-15-12-30,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,12,Minute,0131448_2020-8-9-15-12-30,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0131448_2020-8-9-15-12-30,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,30,Second,0131448_2020-8-9-15-12-30,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0131448_2020-8-9-15-12-30,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,761.296875,km (KeyOff),0131448_2020-8-9-15-12-30,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,760.421875,km (KeyOn),0131448_2020-8-9-15-12-30,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],128,(0-15),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],0,(105-120),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],0,(120-135),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],96,(15-30),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],42,(30-45),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],19,(45-60),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (45-60 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[3],0,(45-60),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (60-75 kph),vavspr_cnt_ops_vehspd[x]_[4],0,(60-75),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (60-75 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[4],0,(60-75),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (75-90 kph),vavspr_cnt_ops_vehspd[x]_[5],0,(75-90),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (75-90 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[5],0,(75-90),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],0,(90-105),0131448_2020-8-9-15-44-11,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0131448_2020-8-9-15-44-11,,,
Counter of vehicle movement state at (Forward),vavdyr_cnt_ops_vehmotionstate[x]_[2],298,Forward,0131448_2020-8-9-15-44-11,,,
Counter of vehicle movement state at (Invalid),vavdyr_cnt_ops_vehmotionstate[x]_[4],0,Invalid,0131448_2020-8-9-15-44-11,,,
Counter of vehicle movement state at (Neutral),vavdyr_cnt_ops_vehmotionstate[x]_[1],7,Neutral,0131448_2020-8-9-15-44-11,,,
Counter of vehicle movement state at (Parked),vavdyr_cnt_ops_vehmotionstate[x]_[0],171,Parked,0131448_2020-8-9-15-44-11,,,
Counter of vehicle movement state at (Reverse),vavdyr_cnt_ops_vehmotionstate[x]_[3],35,Reversed,0131448_2020-8-9-15-44-11,,,
Driver Alert Type Customization Current Setting value at key on,venvar_e_ops_alrtdrvrslctdkeyon,2,$0 = SettingUnknow $1 = Chime $2 = Seat,0131448_2020-8-9-15-44-11,,,
Forward Collision Alert Gap Setting at key on,vefimr_e_ops_fca_gapsetkeyon,0,$0 = Far $1 = Medium $2 = Near $3 = Off $4 = Unknown $5=Faulted,0131448_2020-8-9-15-44-11,,,
Forward Impact Mitigation Operation Select Customization Current Setting Value at key on,vefimr_e_ops_cps_cursetkeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0131448_2020-8-9-15-44-11,,,
Front PCM Response Type Customization Current Setting Value at key on,vepcmr_e_ops_cursetvaluekeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0131448_2020-8-9-15-44-11,,,
Go Notifier Customization Current Setting Value at key on,vefsrr_e_ops_gonocustomkeyon,2,$0=SettingUnknown $1=Off $2=On,0131448_2020-8-9-15-44-11,,,
Lane Change Alert Customization Current Setting Value at key on,verimr_e_ops_lca_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0131448_2020-8-9-15-44-11,,,
Lateral Assist Customer Selection Status at key on,veldfr_e_ops_ltrlasststkeyon,0,$0 = Off $1 = LDW $2 = LKA $3 = HoLF,0131448_2020-8-9-15-44-11,,,
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,31.359375,deg C (KeyOff),0131448_2020-8-9-15-44-11,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,31.359375,deg C (KeyOn),0131448_2020-8-9-15-44-11,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,31.359375,deg C (Max),0131448_2020-8-9-15-44-11,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,31.359375,deg C (Min),0131448_2020-8-9-15-44-11,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,25.96502722,deg (Lat KeyOff),0131448_2020-8-9-15-44-11,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,25.95664278,deg (Lat KeyOn),0131448_2020-8-9-15-44-11,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-80.14352111,deg (Long KeyOff),0131448_2020-8-9-15-44-11,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-80.14559778,deg (Long KeyOn),0131448_2020-8-9-15-44-11,,,
